,arima_base_case,arima-sgarch_ged_500,arima-garch_base_case,arima-sgarch_ged_1500,arima_base_case_forecast,arima-sgarch_ged_500_forecast,arima-garch_base_case_forecast,buy_n_hold,buy_n_hold_forecast,arima-sgarch_ged_1500_forecast
2005-12-20,1.0,1.0002381491028474,1.0,,0.00043100502924224343,-0.0010373055888705193,1.205520461181617e-05,0.9997618508971526,-0.00023814910284736257,
2005-12-21,1.0025166668976364,1.0027554153424476,1.0025166668976364,,0.0014495183748935454,0.0037269133674722706,0.001707366724948485,1.0022779184528252,0.0025166668976364104,
2005-12-22,0.9982852668918024,0.9985230076324985,1.0067480669034705,,-0.0027486775347999996,-0.0002666812796223682,0.00021038593011615966,1.006508310754544,0.004220777714278201,
2005-12-23,0.9987103946728606,0.9980977786076406,1.0063193351712074,,0.001865704867838417,-0.0012691180509254345,-0.0004599069957919368,1.00693694038473,0.00042585801389405376,
2005-12-27,1.0082514575114532,0.9885625683249094,0.9967055812103265,,-0.001699408040135447,0.0001239199729972637,8.811703888285697e-05,0.9973172862047432,-0.009553382932114052,
2005-12-28,1.006943536754648,0.9898449483233515,0.9954126379585447,,-0.0001710628093358033,0.0011809645119561902,-0.001695332053504073,0.998611022970537,0.0012972168272717965,
2005-12-29,1.0039423221883013,0.986894696428486,0.9924457914577018,,0.0015603237761871776,0.00010971157042756813,0.0014571047794788182,0.9956346436216879,-0.0029805192215838217,
2005-12-30,1.0088483115072544,0.9917173787007666,0.9972956004008279,,-0.0027279211223466336,-0.0014807251709064739,-0.0021535102931092057,0.990769251637275,-0.004886724277406218,
2006-01-03,1.0254241777511186,1.008011775423798,1.0136816500073742,,0.002428494103535116,0.0010663418360711725,0.000612818190504356,1.0070480701735687,0.016430484201434892,
2006-01-04,1.0216581103179074,1.004309658385713,1.009958709264833,,-0.0014974912853119669,-0.00045969242944686353,-0.000979952928640863,1.0107466478188476,0.0036726922525569528,
2006-01-05,1.0216741713776138,1.004293870053761,1.0099428321265156,,0.000957218180883632,-0.0007952336562171134,-0.0011206749124200253,1.0107625373440172,1.572058161558587e-05,
2006-01-06,1.0312773140159677,1.0137336479742953,1.0194357070030688,,0.0024092840355218782,8.64858021133513e-06,0.000538732647193816,1.0202631169725802,0.009399418040885843,
2006-01-09,1.0350480395152084,1.0100270685083226,1.0157082787323317,,0.0010646983400116599,-0.0018836415856699554,-0.00032277030365927004,1.0239935705555472,0.0036563642465448076,
2006-01-10,1.0346789289418339,1.0096668807139904,1.015346064950139,,0.0018823736740149941,0.0010462227542972972,0.0006562397244686464,1.0236284021386912,-0.0003566120211651036,
